swim | v. | 游泳；游动
girl | n. | 女孩
everyone | pron. | 每人
her | det. | 她的；pron. 她
beautiful | adj. | 美丽的；美好的
picture | n. | 图画；照片；v. 想象
book | n. | 书；v. 预约, 预订
also | adv. | 也；而且
many | det. & pron. | 许多
thing | n. | 事件；东西
such | det. & pron. | 这样；这样的, 那样的
as | prep. | 像；作为；adv. 如同
great | adj. | (强调某种情况)；好极的；优秀的
time | n. | 时间；一段时间；次；时刻
with | prep. | 和；有；用
