cough | n. | 咳嗽
fever | n. | 发烧
sore | adj. | (发炎)疼痛的；酸痛的
throat | n. | 咽喉；喉咙
headache | n. | 头痛
toothache | n. | 牙痛
stomachache | n. | 胃痛
temperature | n. | 体温；温度；气温
medicine | n. | 药, 药物；医学
junk food | n. | 垃圾食品
slim | adj. | 苗条的
diet | n. | 日常饮食
screen | n. | 屏幕；荧屏
sugar | n. | 糖；食糖
ache | n. | (身体某部位的)疼痛
examine | v. | 检查, 检验；审查
hamburger | n. | 汉堡包
chip | n. | 炸薯条
fried | adj. | 油炸的
pork | n. | 猪肉
pepper | n. | 胡椒粉
iced | adj. | 冰镇的；加冰块的
Coke | n. | 可乐
pill | n. | 药丸；药片
