shelf | n. | 架子，搁板
reader | n. | 读者
record | n. | 记录；记载；v. 记录；记载
dentist | n. | 牙科医生
reason | n. | 原因；理由
research | n. | 研究；调查
tourist | n. | 游客
speech | n. | 演说；讲话
term | n. | 学期
waitress | n. | 女服务员
greet | v. | 和(某人)打招呼(或问好)；欢迎；迎接
guest | n. | 客人；宾客
smile | n. & v. | 微笑
lead | v. | 带路；领路
boring | adj. | 没趣的；令人厌倦 (或厌烦)的
customer | n. | 顾客
conversation | n. | 交谈，谈话
manager | n. | 经理
noisy | adj. | 吵闹的；充满噪声的
simple | adj. | 简单的；易做的
successful | adj. | 获得成功的；有成就的
