nest | n. | 鸟巢；鸟窝
Mount | n. | 山；山峰(在现代英语里仅用于地名)
lie | v. | 位于；坐落在；躺；平躺
province | n. | 省份
east | n. | 东；东方
ceremony | n. | 仪式；典礼
Olympics | n. | 奥林匹克运动会；奥运会
central | adj. | 在中心的；中央的
south-east | n. | 东南；东南方；东南地区
yet | conj. | 但是；然而
quite | adv. | 十分, 非常；相当
already | adv. | 已经；早已
south-west | adj. | 西南部的；n. 西南方；西南地区
length | n. | 长；长度
round | adj. | 圆形的；环形的；adv. 旋转；环绕
palace | n. | 王宫；宫殿
