literature | n. | 文学；文学作品
calligraphy | n. | 书法；书法艺术
swan | n. | 天鹅
west | n. | 西；西方；adj. 西方的；西部的；向西的
teahouse | n. | 茶馆
ballet | n. | 芭蕾舞剧；芭蕾舞
century | n. | 百年；世纪
express | v. | 表达
spirit | n. | 精神；情绪
classic | adj. | 最优秀的；有代表性的；传统的
novel | n. | 小说
oil | n. | (绘画用) 油彩；石油；原油
calligrapher | n. | 书法家
ancient | adj. | 古代的；古老的
photography | n. | 摄影；摄影艺术
wood | n. | 木；木头；木柴
sand | n. | 沙；沙子
correct | adj. | 准确无误的；正确的
wow | int. | 哇，呀
pity | n. | 遗憾，可惜
