beyond | adv. | 在另一边；在(或向)更远处；prep. 在(或向)…… 较远的一边；除……之外
universe | n. | 宇宙
rocket | n. | 火箭
satellite | n. | 卫星；人造卫星
object | n. | 物体；对象；目标；宾语
solar | adj. | 太阳的；太阳能的
warmth | n. | 温暖；暖和；热情
man-made | adj. | 人造的；非天然的
surface | n. | 表面；表层
degree | n. | 度, 度数；学位
Celsius | adj. | 摄氏的
electricity | n. | 电；电能
heat | n. | 热量；热；高温；v. 加热；变热
spoon | n. | 勺；匙
telescope | n. | 望远镜
appear | v. | 出现, 呈现, 显现；显得
ha | n. | 哈哈(笑)
daytime | n. | 白天；日间
